1,56RHL,tomillo 
2,723WW,margarita
3,HBJ4,esparraguera
4,6TM6N,amapola común
5,54VX8,diente de león
6,99TBH,verbena
7,6P3VZ,lavanda
8,34P2Q,bambú gigante
9,6HVXP,ficus
10,3639Z,dedalera
11,48696,nenúfar blanco
12,PJDZ,caléndula
13,3XHB5,magnolia grandiflora
14,87Z69,begonia rex
15,3BPZ6,eucalipto común
16,QLXL,perro doméstico
17,3DXV3,gato doméstico
18,3W9KV,elefante africano
19,4CGXP,león
20,4CGXS,tigre de Bengala
21,7F2KB,oso pardo
22,3G3KN,jirafa
23,5BSG3,zorro rojo
24,74ZBP,conejo europeo
25,3YWY2,ballena jorobada
26,5WZLF,tiburón blanco
27,6QR9T,lince
28,74SZC,orca
29,7TKN7,cebra
30,TVGD,tortuga marina
31,4CGXR,leopardo
32,SQFF,rinoceronte blanco
33,4CGXQ,jaguar
34,72PQL,nutria europea
35,4FVNB,koala
36,FYD9,pingüino emperador
37,4DXXM,gorrión común
38,5BSLM,cóndor de los Andes
39,398D9,elefante asiático
